NCR_ID,Date,Part,Process,Machine,Defect,Problem,Root_Cause,Containment,Corrective_Action,Preventive_Action,Scrap_Qty,Owner,Due_Date,Status,Effectiveness
NCR-1001,2026-01-08,Shaft-A,Turning,Lathe-02,Diameter oversize,OD measured 0.18 mm above upper limit,Worn insert combined with tool-offset drift,Quarantined lot and 100% sorted,Replaced insert and reset offset,Add tool-life counter and first-piece verification after insert change,42,M. Keller,2026-01-22,Closed,Effective
NCR-1002,2026-01-19,Housing-B,CNC Milling,Mill-04,Bore oversize,Bore exceeded tolerance after tool change,Incorrect tool offset entered during setup,Stopped machine and held WIP,Corrected offset and retrained operator,Independent offset verification after setup,18,A. Demir,2026-02-02,Closed,Effective
NCR-1003,2026-02-03,Bracket-C,Press,Press-01,Burr,Heavy burr on punched edge,Die clearance increased due to wear,Segregated affected pieces,Sharpened die and verified clearance,Preventive die inspection every 20000 cycles,65,S. Novak,2026-02-17,Closed,Effective
NCR-1004,2026-02-14,Shaft-A,Turning,Lathe-02,Diameter oversize,Repeat OD oversize on night shift,Tool-life limit not followed and offset check skipped,Stopped production and sorted last two pallets,Locked tool-life alarm and corrected work instruction,Supervisor audit of first-piece records for 30 days,31,M. Keller,2026-03-01,Closed,Effective
NCR-1005,2026-03-01,Housing-B,CNC Milling,Mill-04,Bore oversize,Bore trend near upper control limit,Fixture chip buildup changed seating,Cleaned fixture and rechecked WIP,Added fixture cleaning at each changeover,Layered process audit includes fixture seating check,12,A. Demir,2026-03-15,Closed,Effective
NCR-1006,2026-03-18,Valve-D,Assembly,Line-03,Leak,Pressure decay failed at final test,O-ring damaged during manual insertion,Contained finished goods since last good check,Added insertion guide and replaced damaged seals,Poka-yoke guide plus hourly defect review,27,L. Rossi,2026-04-05,In Progress,Pending
NCR-1007,2026-04-09,Bracket-C,Press,Press-01,Burr,Burr recurrence after extended run,Preventive die inspection was overdue,Sorted stock and stopped press,Restored PM frequency and sharpened die,CMMS escalation for overdue die PM,54,S. Novak,2026-04-25,Open,Pending
NCR-1008,2026-05-22,Shaft-A,Grinding,Grinder-02,Surface finish,Roughness above specification,Coolant concentration below control limit,Held affected production,Corrected coolant concentration and dressed wheel,Automatic concentration check with daily log,23,J. Bauer,2026-06-05,Closed,Effective
NCR-1009,2026-06-04,Housing-B,CNC Milling,Mill-04,Bore oversize,Bore high after weekend restart,Fixture locating surface contaminated with chips,Held first-off parts and cleaned fixture,Added start-up fixture verification,Visual standard at machine and layered audit,16,A. Demir,2026-06-18,Closed,Effective
NCR-1010,2026-06-18,Valve-D,Assembly,Line-03,Leak,Intermittent seal leak at test station,O-ring twisted during insertion,100 percent leak test and containment,Modified insertion guide geometry,Verify guide wear during weekly PM,19,L. Rossi,2026-07-02,In Progress,Pending
NCR-1011,2026-07-07,Shaft-A,Turning,Lathe-02,Diameter oversize,First-off dimension above control limit,Tool offset not updated after insert replacement,Stopped line and corrected offset,Added mandatory offset confirmation in setup sheet,Electronic setup checklist with supervisor signoff,22,M. Keller,2026-07-21,Closed,Effective
NCR-1012,2026-08-12,Bracket-C,Press,Press-01,Burr,Burr increased during long production run,Die wear exceeded internal limit,Contained suspect pallets,Replaced die insert and verified parts,Condition-based die wear measurement,48,S. Novak,2026-08-28,Open,Pending
